note,depth,environment,sample_type,title,description,decimalLatitude,decimalLongitude,locality,relativeOrganismQuantity,datasetKey,sequence_type,reference
hydrocarbons,surface,river,sediment,Microbial community in PAH-contaminated riverine sediments,Co-occurrence patterns of microbial community,31.04,120.39,Suzhou,7.77E-04,2a8dde51-80f0-496b-8d2b-f74670b1d042,16s SSU,
hydrocarbons,surface,river,sediment,Microbial community in PAH-contaminated riverine sediments,Co-occurrence patterns of microbial community,31.05,120.4,Suzhou,3.86E-04,2a8dde51-80f0-496b-8d2b-f74670b1d042,16s SSU,
hydrocarbons,surface,river,sediment,Microbial community in PAH-contaminated riverine sediments,Co-occurrence patterns of microbial community,31.06,120.41,Suzhou,5.26E-04,2a8dde51-80f0-496b-8d2b-f74670b1d042,16s SSU,
hydrocarbons,surface,river,sediment,Microbial community in PAH-contaminated riverine sediments,Co-occurrence patterns of microbial community,31.07,120.41,Suzhou,7.87E-04,2a8dde51-80f0-496b-8d2b-f74670b1d042,16s SSU,
hydrocarbons,surface,river,sediment,Microbial community in PAH-contaminated riverine sediments,Co-occurrence patterns of microbial community,31.08,120.41,Suzhou,4.10E-04,2a8dde51-80f0-496b-8d2b-f74670b1d042,16s SSU,
hydrocarbons,surface,river,sediment,Microbial community in PAH-contaminated riverine sediments,Co-occurrence patterns of microbial community,31.08,120.42,Suzhou,0.010479803,2a8dde51-80f0-496b-8d2b-f74670b1d042,16s SSU,
hydrocarbons,surface,river,sediment,Microbial community in PAH-contaminated riverine sediments,Co-occurrence patterns of microbial community,31.09,120.42,Suzhou,1.04E-04,2a8dde51-80f0-496b-8d2b-f74670b1d042,16s SSU,
hydrocarbons,surface,river,sediment,Microbial community in PAH-contaminated riverine sediments,Co-occurrence patterns of microbial community,31.1,120.42,Suzhou,0.001939259,2a8dde51-80f0-496b-8d2b-f74670b1d042,16s SSU,
,,wetland,sediment,Composition and Genetic Diversity of Microbial Communities in Subtropical Coastal Wetland Sediments,"This study aimed to examine the composition and genetic diversity of bacterial, archaeal and fungal communities in surface sediments of a subtropical coastal wetland.",22.49,114.03,Mai Po Nature Reserve,8.50E-05,999e141e-004e-4a61-a282-052ecf258474,16s SSU,
,,freshwater,sediment,freshwater sediment metagenome Metagenome,To investigate the influence of nitrate on soil microbial communities.,36.46,116.05,"Baiyun Lake, Jinan",1.27E-04,e0c4e2df-b987-45a6-b1dd-b3f50328f72a,16s SSU,
,,marine,sediment,Marine Sediment from the Berkeley Bay Targeted Locus (Loci),Community analysis (16S) of a marine samples enriched with perchlorate,37.86,-122.31,California,7.08E-06,9279192d-9d2b-43bb-af15-1eaf95ec4c8e,16s SSU,
"Fe, Mn-rich",,lake,sediment,Fe3+ and Mn4+ - induced changes in microbial communities of boreal lake sediments,"Here we study the structure of bacterial and archaeal communities in sediments of two boreal lakes (littoral site in one lake and profundal site in another lake) . We specifically focused on community changes induced by increased availability of Fe3+ and Mn4+, which were studied by laboratory incubation of sediment samples collected from the profundal site. Microbial communities were studied by NGS (Ion Torrent) of bacterial and archaeal 16S rRNA genes as well as archaeal mcrA genes and mcrA-transcripts.",62.03,29.98,"Eastern Finland, near city of Joensuu",0.10236247,8543440c-0c50-4865-8d12-bd6070150adc,16s SSU,
"Fe, Mn-rich",,lake,sediment,Fe3+ and Mn4+ - induced changes in microbial communities of boreal lake sediments,"Here we study the structure of bacterial and archaeal communities in sediments of two boreal lakes (littoral site in one lake and profundal site in another lake) . We specifically focused on community changes induced by increased availability of Fe3+ and Mn4+, which were studied by laboratory incubation of sediment samples collected from the profundal site. Microbial communities were studied by NGS (Ion Torrent) of bacterial and archaeal 16S rRNA genes as well as archaeal mcrA genes and mcrA-transcripts.",62.52,29.37,"Eastern Finland, near city of Joensuu",1.04E-04,8543440c-0c50-4865-8d12-bd6070150adc,16s SSU,
,,other,culture,Enrichment metagenome,Genetic and Cultured diversity of free living marine Spirochaetes,21.08,72.06,NA,1.28E-05,f4f8ed2d-2e77-4319-bc1e-4a75c98d14b3,16s SSU,
pesticides,,other,,Temporal variation in pesticide biodegradation,Bacterial and phototrophic sequence reads for seasonal pesticide degradation project.,52.12,-1.36,Warwickshire,4.44E-04,7bf578b3-5753-4c11-bde0-4370fddf2ce9,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-38.62,176.24,Waikato,3.04E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-38.56,176.32,Waikato,3.82E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-38.5,176.35,Waikato,4.34E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-38.26,174.9,Waikato,8.31E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-38.19,175.23,Waikato,8.09E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-38.19,175.24,Waikato,2.10E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-38.19,175.98,Waikato,1.59E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.96,175.69,Waikato,2.15E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.71,174.92,Waikato,2.98E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.7,174.9,Waikato,9.49E-06,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.69,175.62,Waikato,6.09E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.53,175.37,Waikato,2.28E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.53,175.6,Waikato,1.46E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.34,175.01,Waikato,1.34E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.32,174.91,Waikato,1.22E-04,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.3,174.99,Waikato,3.69E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.3,175,Waikato,4.47E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.28,174.88,Waikato,5.65E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.25,174.76,Auckland,7.53E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.24,174.95,Waikato,1.03E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.22,174.84,Auckland,4.15E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.22,174.87,Auckland,1.27E-04,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.09,174.64,Auckland,3.59E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.09,174.88,Auckland,1.22E-04,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.07,174.65,Auckland,4.99E-04,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-37.02,175,Auckland,2.54E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-36.81,175.08,Auckland,3.20E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-36.78,174.58,Auckland,0.001535995,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-36.64,174.56,Auckland,4.47E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-36.63,174.52,Auckland,1.14E-04,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-36.37,174.29,Auckland,3.49E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-36.37,174.65,Auckland,3.54E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,other,soil,Response of soil bacteria to anthropogenic soil variables at large spatial scales,"We sought to determine the relative influences of spatial and environmental factors on entire bacterial communities and individual taxa, in both natural and human-impacted soils in the upper North Island of New Zealand. We conducted 16S rRNA (v3-v4 region) amplicon sequencing on soil samples from 110 native forests, plantation forest, horticultural or pastoral sites, which constitute the dominant land uses within temperate climate zones. These sites were located between 5 m and 300 km apart. This bacterial data was paired with extensive site metadata to determine which environmental variables were correlated with changes in bacterial community composition as a whole, as well as with changes in the abundance of specific taxa.",-36.21,174.62,Auckland,1.86E-05,b37a1b62-055c-4bc4-bb5a-53e1b9b41b72,16s SSU,
anthropogenic,surface,agricultural,soil,Microbial community structure is affected by cropping sequences and bio-covers under long-term no-tillage,"Changes in soil bacterial community composition were assessed in response to cropping sequences and bio-covers at long-term no-tillage sites. Main effects of 4 four different cropping sequences of corn (Zea mays L.), cotton (Gossypium hirsutum L.), and soybean (Glycine max L.) were rotated in four year phases for 12-yrs at two Tennessee Research and Education Centers in a randomized complete block design with split-block treatments of four winter bio-covers: hairy vetch (Vicia villosa L.), wheat (Triticum aestivum L.), poultry litter, and a fallow control. Using Illumina high-throughput sequencing of 16S rRNA genes, bacterial community composition was determined.",35.72,-86.96,Spring Hill,2.65E-05,1c771a70-78ac-44d6-8ff6-2efaa2078a96,16s SSU,
anthropogenic,surface,agricultural,soil,Microbial community structure is affected by cropping sequences and bio-covers under long-term no-tillage,"Changes in soil bacterial community composition were assessed in response to cropping sequences and bio-covers at long-term no-tillage sites. Main effects of 4 four different cropping sequences of corn (Zea mays L.), cotton (Gossypium hirsutum L.), and soybean (Glycine max L.) were rotated in four year phases for 12-yrs at two Tennessee Research and Education Centers in a randomized complete block design with split-block treatments of four winter bio-covers: hairy vetch (Vicia villosa L.), wheat (Triticum aestivum L.), poultry litter, and a fallow control. Using Illumina high-throughput sequencing of 16S rRNA genes, bacterial community composition was determined.",35.93,-88.72,Milan,8.00E-05,1c771a70-78ac-44d6-8ff6-2efaa2078a96,16s SSU,
,deep subsurface,marine,sediment,Mariana and Kermadec Trench sediment 16S rRNA gene sequencing,"This project studies the microbial communities within the Mariana and Kermadec trenches as a function of trench, sediment, and water depth using 16S rRNA gene sequencing.",-35.91,-178.96,Kermadec Trench,5.16E-06,3a7f5881-230e-4eaa-a514-c73e184cb40b,16s SSU,
,deep subsurface,marine,sediment,Mariana and Kermadec Trench sediment 16S rRNA gene sequencing,"This project studies the microbial communities within the Mariana and Kermadec trenches as a function of trench, sediment, and water depth using 16S rRNA gene sequencing.",11.55,144.56,Mariana Trench,2.80E-06,3a7f5881-230e-4eaa-a514-c73e184cb40b,16s SSU,
